1;arms_factory;3509.00;10.63;972.00;3.51;0
1;arms_factory;3549.00;11.13;937.00;1.35;0
1;arms_factory;3572.00;11.53;967.00;1.46;0
1;arms_factory;3494.00;10.30;895.00;5.58;0
1;arms_factory;3540.00;10.53;903.00;1.96;0
1;arms_factory;3542.00;11.55;959.00;6.08;0
1;industrial_complex;3531.00;10.18;914.00;6.18;0
1;industrial_complex;3529.00;11.35;976.00;4.02;0
1;industrial_complex;3495.00;9.98;924.00;0.41;0
1;industrial_complex;3563.00;10.85;983.00;3.07;0
1;industrial_complex;3499.00;10.57;898.00;6.09;0
1;industrial_complex;3605.00;10.00;938.00;2.47;0
1;air_base;3498.00;10.45;909.00;5.13;0
1;bunker;3595.00;10.57;946.00;1.52;0
1;bunker;3472.00;12.00;955.00;4.54;0
1;bunker;3548.00;11.07;938.00;5.74;0
1;bunker;3485.00;10.70;975.00;3.58;0
1;bunker;3517.00;10.05;913.00;5.14;0
1;bunker;3511.00;10.43;964.00;1.52;0
1;bunker;3541.00;10.15;932.00;4.19;0
1;bunker;3559.00;11.45;965.00;2.03;0
1;bunker;3519.00;11.15;986.00;5.05;0
1;anti_air_building;3593.00;10.85;957.00;6.25;0
1;anti_air_building;3581.00;10.00;923.00;4.09;0
1;anti_air_building;3511.00;10.45;966.00;0.47;0
1;akob_coal_mine;3568.00;10.48;931.00;2.04;0
1;fuel_silo;3575.00;11.32;960.00;4.70;0
1;radar_station;3547.00;11.28;948.00;4.03;0
1;rocket_site;3554.00;11.20;970.00;3.74;0
1;nuclear_reactor;3486.00;11.10;987.00;0.48;0
2;arms_factory;2671.00;10.45;1233.00;1.46;0
2;arms_factory;2677.00;9.93;1223.00;5.58;0
2;arms_factory;2672.00;10.20;1241.00;1.96;0
2;arms_factory;2649.00;9.88;1228.00;6.08;0
2;arms_factory;2675.00;9.88;1251.00;6.18;0
2;arms_factory;2669.00;10.65;1235.00;4.02;0
2;industrial_complex;2649.00;9.98;1236.00;0.41;0
2;industrial_complex;2651.00;9.90;1244.00;3.07;0
2;industrial_complex;2646.00;9.80;1230.00;6.09;0
2;industrial_complex;2662.00;10.40;1230.00;2.47;0
2;industrial_complex;2668.00;10.68;1237.00;5.13;0
2;industrial_complex;2649.00;9.93;1238.00;1.52;0
2;air_base;2659.00;9.95;1224.00;4.54;0
2;naval_base;2676.00;9.78;1255.00;-3.26;2454
2;bunker;2657.00;10.35;1232.00;3.58;0
2;coastal_bunker;2653.00;9.80;1248.00;-3.26;0
2;dockyard;2681.00;9.75;1238.00;0.00;0
2;anti_air_building;2666.00;10.07;1226.00;4.19;0
2;anti_air_building;2681.00;9.85;1226.00;2.03;0
2;anti_air_building;2653.00;10.20;1234.00;5.05;0
2;akob_coal_mine;2673.00;9.80;1256.00;6.25;0
2;fuel_silo;2668.00;9.80;1218.00;4.09;0
2;radar_station;2664.00;10.63;1238.00;1.86;0
2;rocket_site;2647.00;9.80;1229.00;2.04;0
2;nuclear_reactor;2662.00;10.10;1247.00;4.70;0
3;arms_factory;2521.00;10.20;946.00;1.96;0
3;arms_factory;2543.00;9.82;944.00;6.08;0
3;arms_factory;2515.00;10.00;970.00;6.18;0
3;arms_factory;2523.00;10.07;943.00;4.02;0
3;arms_factory;2528.00;10.00;964.00;0.41;0
3;arms_factory;2523.00;10.07;967.00;3.07;0
3;industrial_complex;2502.00;9.90;941.00;6.09;0
3;industrial_complex;2535.00;9.82;961.00;2.47;0
3;industrial_complex;2533.00;9.90;964.00;5.13;0
3;industrial_complex;2534.00;9.90;943.00;1.52;0
3;industrial_complex;2517.00;10.13;959.00;4.54;0
3;industrial_complex;2518.00;10.05;942.00;5.74;0
3;air_base;2506.00;9.82;967.00;3.58;0
3;naval_base;2509.00;9.50;935.00;-0.22;2784
3;naval_base;2527.00;9.82;972.00;1.33;2784
3;bunker;2507.00;10.00;958.00;4.19;0
3;bunker;2528.00;10.20;950.00;2.03;0
3;coastal_bunker;2540.00;9.82;959.00;1.33;0
3;coastal_bunker;2504.00;9.50;935.00;-0.22;0
3;dockyard;2518.00;9.50;936.00;-0.22;0
3;anti_air_building;2516.00;9.85;977.00;0.47;0
3;anti_air_building;2523.00;10.20;955.00;2.04;0
3;anti_air_building;2509.00;9.85;970.00;4.70;0
